eco_weights_choice,WUE_flood_choice,WUE_spray_choice,adoption_choice,climate_choice,eco_min_separation_choice,eco_min_duration_choice,eco_ctf_choice,AWD_surface_choice,AWD_gw_choice,crop_price_choice,timing_col,duration_col,dry_col,gwlevel_col,sw_uncertainty_choice,gw_uncertainty_choice,crop_trend,cj_options,profit_mean,profit_std,surface_index,gw_index,gwlevel_mean,gwlevel_min
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,down,byrain,1413741.7632310931,1082778.7952631954,1.9066000000000003,216.86670078182155,-7.8431902916956444,-8.3338468577541249
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,down,constant1,1458322.8562463457,1101439.1758914804,1.8521333333333334,189.57909626102906,-8.3662276182168576,-8.8904028424398636
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,down,forcefix,1463411.772390089,1111233.2367100506,1.8521333333333334,181.83991106796208,-8.5145690649623909,-8.9933417722617506
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,down,oppandforcefix,1512703.5062556944,1112324.2376872788,1.7849333333333335,117.84205614556947,-9.7481959245032481,-10.407652715128416
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,up,byrain,2266733.9657020657,1931013.9854734384,1.9066000000000003,216.86670078182155,-7.8431902916956444,-8.3338468577541249
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,up,constant1,2341346.16775851,1982927.1129448647,1.8521333333333334,189.57909626102906,-8.3662276182168576,-8.8904028424398636
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,up,forcefix,2346477.8755242103,2013059.0077901008,1.8521333333333334,181.83991106796208,-8.5145690649623909,-8.9933417722617506
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,80%,up,oppandforcefix,2423641.8116260427,2013505.1699671329,1.7849333333333335,117.84205614556947,-9.7481959245032481,-10.407652715128416
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,120%,down,byrain,1413741.7632310931,1082778.7952631954,1.9066000000000003,22.457206766395995,-11.764785437543464,-12.500770286631187
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,120%,down,constant1,1458322.8562463457,1101439.1758914804,1.8521333333333334,10.742080171397145,-12.549341427325285,-13.335604263659794
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,120%,down,forcefix,1463411.772390089,1111233.2367100506,1.8521333333333334,9.8199361262215135,-12.771853597443586,-13.490012658392624
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,120%,down,oppandforcefix,1512703.5062556944,1112324.2376872788,1.7849333333333335,0.0,-14.622293886754873,-15.611479072692623
Default,min,min,min,dry,med,med,min,0.5,0.5,1.0,Roberts,Roberts,Roberts,Index,50%,120%,up,byrain,2266733.9657020657,1931013.9854734384,1.9066000000000003,22.457206766395995,-11.764785437543464,-12.500770286631187
